Country	Population in Millions	GDP per Capita
China	1,394.02	$18,192.04
United States	332.64	$58,592.03
India	1,326.09	$7,144.29
Japan	125.51	$43,367.94
Germany	80.16	$52,382.96
Russia	141.72	$28,337.13
Indonesia	267.03	$12,171.08
Brazil	211.72	$15,341.31
United Kingdom	65.76	$44,479.17
France	67.85	$42,094.00
Mexico	128.65	$19,145.03
Italy	62.40	$37,129.83
Turkey	82.02	$26,652.84
South Korea	51.84	$39,259.10
Spain	50.02	$35,548.77
Saudi Arabia	34.17	$51,940.83
Canada	37.69	$47,063.09
Iran	84.92	$19,311.54
Australia	25.47	$49,005.64
Thailand	68.98	$17,918.91
Egypt	104.12	$11,563.09
Taiwan	23.60	$50,374.85
Poland	38.28	$29,413.05
Nigeria	214.03	$5,237.63
Pakistan	233.50	$4,543.88
Malaysia	32.65	$28,583.17
Netherlands	17.28	$53,494.14
Argentina	45.48	$20,275.24
Philippines	109.18	$8,034.38
South Africa	56.46	$13,587.51
Colombia	49.08	$14,497.35
United Arab Emirates	9.99	$69,655.15
Bangladesh	162.65	$4,244.06
Iraq	38.87	$16,703.26
Vietnam	98.72	$6,571.03
Algeria	42.97	$14,660.41
Belgium	11.72	$45,150.83
Singapore	6.21	$85,044.91
Switzerland	8.40	$62,244.21
Sweden	10.20	$50,771.91
Romania	21.30	$22,691.75
Hong Kong	7.25	$66,276.71
Kazakhstan	19.09	$25,068.16
Chile	18.19	$24,858.73
Austria	8.86	$49,777.36
Peru	31.91	$13,482.69
Venezuela	28.64	$13,321.88
Norway	5.47	$69,721.86
Czechia	10.70	$35,122.64
Ukraine	43.92	$8,414.74
Ireland	5.18	$68,249.84
Qatar	2.44	$138,901.73
Burma	56.59	$5,827.88
Israel	8.68	$36,551.31
Portugal	10.30	$30,487.23
Greece	10.61	$28,217.08
Morocco	35.56	$8,396.68
Kuwait	2.99	$96,769.69
Hungary	9.77	$29,636.22
Denmark	5.87	$49,033.89
Sri Lanka	22.89	$12,049.35
Finland	5.57	$43,954.55
Uzbekistan	30.57	$7,295.83
Ethiopia	108.11	$1,855.46
Angola	32.52	$5,952.83
Ecuador	16.90	$11,416.83
Oman	4.66	$40,751.63
New Zealand	4.93	$38,371.92
Slovakia	5.44	$33,029.43
Belarus	9.48	$18,928.21
Sudan	45.56	$3,893.63
Dominican Republic	10.50	$16,476.65
Azerbaijan	10.21	$16,872.74
Kenya	53.53	$3,058.22
Tanzania	58.55	$2,775.27
Bulgaria	6.97	$22,032.76
Guatemala	17.15	$8,050.93
Tunisia	11.72	$11,747.97
Cuba	11.06	$12,388.03
Ghana	29.34	$4,567.11
Puerto Rico	3.19	$40,764.26
Serbia	7.01	$15,073.80
Panama	3.89	$26,732.87
Turkmenistan	5.53	$18,756.92
Croatia	4.23	$24,149.98
Cote d'Ivoire	27.48	$3,535.52
Lithuania	2.73	$33,487.54
Cameroon	27.74	$3,227.25
Uganda	43.25	$2,062.06
Jordan	10.82	$8,225.02
Paraguay	7.19	$12,362.89
Lebanon	5.47	$16,134.60
Costa Rica	5.10	$16,465.32
Bolivia	11.64	$7,192.50
Nepal	30.33	$2,611.13
Uruguay	3.39	$23,072.35
Macau	0.61	$125,850.75
